INFO 2025-08-30 10:24:56,116 autoreload C:\project\TEST_v1\TEST\backend\main\signals.py changed, reloading.
INFO 2025-08-30 10:24:58,303 autoreload Watching for file changes with StatReloader
INFO 2025-08-30 10:51:32,296 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:32,595 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:32,610 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:32,652 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:32,959 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:32,973 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:33,013 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:33,295 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:33,308 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:33,347 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:33,460 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:33,477 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:33,516 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:33,700 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:33,714 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:33,755 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:34,087 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:34,101 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:34,139 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:34,276 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:34,293 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:34,333 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:34,460 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:34,474 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:34,513 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:34,660 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:34,673 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:34,713 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:35,027 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:35,041 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:35,079 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-30 10:51:35,194 basehttp "POST /admin/main/log/add/ HTTP/1.1" 302 0
INFO 2025-08-30 10:51:35,210 basehttp "GET /admin/main/log/add/ HTTP/1.1" 200 14873
INFO 2025-08-30 10:51:35,250 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
